Origin Region, Destination Region, Origin Country, Destination Country, Origin Port, Destination Port,Year, Month, Container Type, TEU,TEU Failure
Far East,Europe,All,All,All,All,2008,Jan,All, 1270371,No
Far East,Europe,All,All,All,All,2008,Feb,All, 924701,No
Far East,Europe,All,All,All,All,2008,Mar,All, 1184375,No
Far East,Europe,All,All,All,All,2008,Apr,All, 1190846,No
Far East,Europe,All,All,All,All,2008,May,All, 1183027,No
Far East,Europe,All,All,All,All,2008,Jun,All, 1199676,No
Far East,Europe,All,All,All,All,2008,Jul,All, 1241985,No
Far East,Europe,All,All,All,All,2008,Aug,All, 1235295,No
Far East,Europe,All,All,All,All,2008,Sep,All, 1186292,No
Far East,Europe,All,All,All,All,2008,Oct,All, 1097048,No
Far East,Europe,All,All,All,All,2008,Nov,All, 963627,No
Far East,Europe,All,All,All,All,2008,Dec,All, 1010192,No
Far East,Europe,All,All,All,All,2009,Jan,All, 1025943,No
Far East,Europe,All,All,All,All,2009,Feb,All, 629118,No
Far East,Europe,All,All,All,All,2009,Mar,All, 978278,No
Far East,Europe,All,All,All,All,2009,Apr,All, 897713,No
Far East,Europe,All,All,All,All,2009,May,All, 955312,No
Far East,Europe,All,All,All,All,2009,Jun,All, 957151,No
Far East,Europe,All,All,All,All,2009,Jul,All, 1030900,No
Far East,Europe,All,All,All,All,2009,Aug,All, 1091451,No
Far East,Europe,All,All,All,All,2009,Sep,All, 1054010,No
Far East,Europe,All,All,All,All,2009,Oct,All, 964980,No
Far East,Europe,All,All,All,All,2009,Nov,All, 985174,No
Far East,Europe,All,All,All,All,2009,Dec,All, 1110511,No
Far East,Europe,All,All,All,All,2010,Jan,All, 1098893,No
Far East,Europe,All,All,All,All,2010,Feb,All, 934899,No
Far East,Europe,All,All,All,All,2010,Mar,All, 1080005,No
Far East,Europe,All,All,All,All,2010,Apr,All, 1117773,No
Far East,Europe,All,All,All,All,2010,May,All, 1153485,No
Far East,Europe,All,All,All,All,2010,Jun,All, 1166272,No
Far East,Europe,All,All,All,All,2010,Jul,All, 1219114,No
Far East,Europe,All,All,All,All,2010,Aug,All, 1242174,No
Far East,Europe,All,All,All,All,2010,Sep,All, 1121864,No
Far East,Europe,All,All,All,All,2010,Oct,All, 1083829,No
Far East,Europe,All,All,All,All,2010,Nov,All, 1114196,No
Far East,Europe,All,All,All,All,2010,Dec,All, 1204345,No
Far East,Europe,All,All,All,All,2011,Jan,All, 1350428,No
Far East,Europe,All,All,All,All,2011,Feb,All, 833865,No
Far East,Europe,All,All,All,All,2011,Mar,All, 1169012,No
Far East,Europe,All,All,All,All,2011,Apr,All, 1178112,No
