Teu,Delivery_Date,Deadweight,Shipbuilder,Group_Beneficial_Owner,Operator,LR_IMO_Ship_No,Speed,Newbuild_Price_USD,Ship_Name,Beam,Delivery Year,Size Group,age
100,1961-10-01,1372,Ruiz De Velasco,,MERCOSUR NAVIERA SA,5202213,12,,Lago Ypoa,12.03999996,1961,0 - 899 TEU,54.60643395
73,1968-12-01,2006,Basse-Sambre-Corcho,,BELLINI NAVIGATION,6819673,11.75,,Aka I,11.64000034,1968,0 - 899 TEU,47.43675271
110,1970-03-01,1150,Werf Gebr. Deest Nv,,MARGARITA CARGO LINE,7014658,13.5,,Margarita I,13.21000004,1970,0 - 899 TEU,46.19234578
124,1970-06-01,2181,Zaanlandse,,BRANDAO RAMOS AV,7015925,15,,Dina,13.75,1970,0 - 899 TEU,45.94046718
171,1970-07-01,4383,Tsuneishi Shbldg - Fkym - earl,OCEANIC CONTAINER LINES INC,OCEANIC CONTAINER LINES INC,7031565,11.25,,Pola Bay,15.03999996,1970,0 - 899 TEU,45.85833285
124,1970-09-01,2181,Vuijk Scheepswerven Nv,,RPTD SOLD UNDISCLOSED INTEREST,7022239,15,,Filippos,13.80000019,1970,0 - 899 TEU,45.68858857
397,1970-09-01,4432,Kurushima Imabari,WEST OCEAN LINES & TRANSPORT,WEST OCEAN LINES & TRANSPORT,7036981,11.5,,West Ocean 3,15.03999996,1970,0 - 899 TEU,45.68858857
124,1970-11-01,2210,Vuijk Scheepswerven Nv,KING OCEAN SERVICES LTD,KING OCEAN SERVICES,7027722,15.5,,Halcon Del Mar,13.80000019,1970,0 - 899 TEU,45.52158211
124,1971-01-01,2174,Vuijk Scheepswerven Nv,BERNUTH AGENCIES INC,BERNUTH AGENCIES INC,7033161,14,,Island Intrepid,13.80000019,1971,0 - 899 TEU,45.35388644
124,1971-01-01,2210,Zaanlandse,,RPTD SOLD UNDISCLOSED INTEREST,7039622,15.5,,Island Clipper,13.80000019,1971,0 - 899 TEU,45.35388644
150,1971-05-01,3261,Construcciones Asts SA - Meira,,HASAN FU,7024457,12,,Niaga Bahari,14.56000042,1971,0 - 899 TEU,45.02535412
113,1971-06-01,1910,Vuijk Scheepswerven Nv,WOODWARD GROUP,COASTAL SHIPPING LTD,7052363,15.5,,Astron,13.81999969,1971,0 - 899 TEU,44.94048328
2128,1971-07-16,38656,Avondale Avondale,MATSON INC,MATSON NAVIGATION CO INC,7105471,21.25,21320000,Lihue,30.54000092,1971,1800 - 2399 TEU,44.81728366
113,1971-08-07,1905,Zaanlandse,,DENJ SAFAR KISH CO,7108954,14,,Pishgam,13.75,1971,0 - 899 TEU,44.75705273
2325,1972-09-27,31203,Ingalls Pascagoula,MATSON INC,MATSON NAVIGATION CO INC,7116315,21,20475000,Matson Navigator,27.48999977,1972,1800 - 2399 TEU,43.61471071
186,1972-10-01,4456,Mie Yokkaichi,,HYUNSOENG INDUSTRY CO LTD,7222554,12.19999981,21270252,Grake,16.54000092,1972,0 - 899 TEU,43.60375981
