ISO,Age,year,TEU,demolition price,TC rates,Scrapped
5202213,51.24982888,2012,100,420,418,0
6812211,44.49899617,2012,1364,420,418,0
6820579,44.32925716,2012,1404,420,418,0
6819673,44.08012411,2012,73,420,418,0
7014658,42.83573157,2012,110,420,418,0
7015925,42.5838533,2012,124,420,418,0
7031565,42.50171909,2012,171,420,418,0
7022239,42.33197504,2012,124,420,418,0
7036981,42.33197504,2012,397,420,418,0
7027722,42.1649688,2012,124,420,418,0
7019220,42.08283459,2012,182,420,418,0
7033161,41.99726224,2012,124,420,418,0
7039622,41.99726224,2012,124,420,418,0
7024457,41.66873085,2012,150,420,418,0
7052363,41.58386024,2012,113,420,418,0
7105471,41.46066097,2012,2128,420,418,0
7108954,41.40043022,2012,113,420,418,0
7116315,40.25807959,2012,2325,420,418,0
7222554,40.24712874,2012,186,420,418,0
7312751,39.83572895,2012,310,420,418,0
7233278,39.66872005,2012,1446,420,418,0
7323164,39.66872005,2012,128,420,418,0
7224306,39.16495551,2012,1664,420,418,0
7355442,39.15400411,2012,150,420,418,0
7326233,39.15126626,2012,2325,420,418,0
7334204,39.08281999,2012,1712,420,418,0
7355416,39.06639288,2012,522,420,418,0
7366312,38.69336609,2012,1664,420,418,0
7419987,37.99726225,2012,150,420,418,0
7417733,37.59207493,2012,126,420,418,0
7361180,37.35936599,2012,1924,420,418,0
7361233,36.66600074,2012,1924,420,418,0
7408952,36.58113208,2012,626,420,418,0
7432678,36.54280429,2012,270,420,418,0
7420211,35.9890486,2012,254,420,418,0
7641463,35.80835044,2012,126,420,418,0
7716282,35.16769336,2012,352,420,418,0
7504017,34.9972622,2012,264,420,418,0
7602338,34.6030194,2012,1626,420,418,0
7813157,34.08557572,2012,500,420,418,0
7724942,34.08283792,2012,956,420,418,0
7809376,33.94524519,2012,210,420,418,0
7805837,33.83573557,2012,701,420,418,0
7810545,33.83573557,2012,454,420,418,0
7803164,33.63040502,2012,335,420,418,0
7617890,33.05821725,2012,2325,420,418,0
7941667,32.99726232,2012,320,420,418,0
7913177,32.5948233,2012,658,420,418,0
7922116,32.58387257,2012,240,420,418,0
8007676,32.55102041,2012,262,420,418,0
7617905,32.49900448,2012,2325,420,418,0
7729459,32.45246391,2012,2437,420,418,0
7802718,32.35116974,2012,1626,420,418,0
7913189,32.34021901,2012,658,420,418,0
7941198,32.08835241,2012,320,420,418,0
7729461,32.08013937,2012,2437,420,418,0
8017944,32.01443504,2012,500,420,418,0
7825411,31.83572895,2012,3876,420,418,0
8315853,31.75085558,2012,210,420,418,0
7941849,31.75085558,2012,320,420,418,0
7715393,31.66872005,2012,300,420,418,0
7926069,31.41683778,2012,576,420,418,0
8027913,31.24982888,2012,671,420,418,0
8130928,30.73169655,2012,538,420,418,0
8118700,30.660514,2012,520,420,418,0
8201624,30.58385587,2012,1438,420,418,0
8026074,30.50172216,2012,2159,420,418,0
8201636,30.27996114,2012,1254,420,418,0
8125557,30.26079661,2012,292,420,418,0
8011213,30.24984545,2012,2157,420,418,0
7907984,30.24984545,2012,3027,420,418,0
8203309,30.12664488,2012,569,420,418,0
8201648,30.08557803,2012,1438,420,418,0
8124943,30.08284024,2012,598,420,418,0
8119376,30.06915128,2012,1346,420,418,0
8128860,30.00344432,2012,969,420,418,0
8115590,30.00070653,2012,846,420,418,0
8108793,29.95072093,2012,1234,420,418,0
7907996,29.91239277,2012,3027,420,418,0
8115605,29.86585143,2012,846,420,418,0
8213562,29.8521628,2012,236,420,418,0
8130019,29.77550648,2012,1830,420,418,0
8211344,29.77276875,2012,452,420,418,0
7908005,29.75908012,2012,1994,420,418,0
8115617,29.75086695,2012,846,420,418,0
8126159,29.69063698,2012,456,420,418,0
8115629,29.58386567,2012,846,420,418,0
8119388,29.57017704,2012,1346,420,418,0
8203581,29.54279978,2012,1033,420,418,0
7925493,29.50173389,2012,1914,420,418,0
8107610,29.45245483,2012,100,420,418,0
8209729,29.38674941,2012,1429,420,418,0
8301709,29.25807629,2012,586,420,418,0
8201674,29.25260084,2012,1438,420,418,0
8108810,29.20332177,2012,1234,420,418,0
8300559,29.19237087,2012,380,420,418,0
8124929,29.16499361,2012,2515,420,418,0
7925508,29.08286184,2012,1914,420,418,0
8304000,29.01441869,2012,380,420,418,0
8124371,29.00894324,2012,1716,420,418,0
8300121,28.94524686,2012,3584,420,418,0
8201923,28.91513263,2012,512,420,418,0
8201947,28.79741339,2012,512,420,418,0
8201686,28.69885774,2012,1438,420,418,0
8324270,28.69885774,2012,256,420,418,0
8400969,28.69612008,2012,450,420,418,0
8131180,28.63041631,2012,283,420,418,0
8401054,28.62767866,2012,656,420,418,0
8321644,28.54554895,2012,1033,420,418,0
8300145,28.51269706,2012,3876,420,418,0
8223000,28.34296233,2012,1402,420,418,0
8405775,28.33474936,2012,180,420,418,0
8321826,28.25809497,2012,422,420,418,0
8208684,28.21976777,2012,2415,420,418,0
8409367,28.16775229,2012,1020,420,418,0
8401523,28.13763806,2012,1033,420,418,0
8321709,28.12942509,2012,1328,420,418,0
8415005,28.08562258,2012,1020,420,418,0
8415029,28.0719343,2012,1020,420,418,0
8318001,28.05824601,2012,1328,420,418,0
8403583,28.0336071,2012,584,420,418,0
8318037,28.0336071,2012,1328,420,418,0
8306773,27.99726215,2012,724,420,418,0
8321955,27.89596167,2012,424,420,418,0
8318049,27.87405886,2012,1328,420,418,0
8321711,27.8384668,2012,1328,420,418,0
8320559,27.83572895,2012,1914,420,418,0
8410342,27.81382615,2012,1020,420,418,0
8321840,27.78918549,2012,422,420,418,0
8408832,27.75633128,2012,1923,420,418,0
8212673,27.71252567,2012,4614,420,418,0
8321967,27.69336071,2012,424,420,418,0
8415615,27.66324435,2012,1022,420,418,0
8405921,27.63312799,2012,754,420,418,0
8318051,27.60574949,2012,1696,420,418,0
8322181,27.58932238,2012,540,420,418,0
8105985,27.57289528,2012,612,420,418,0
8408818,27.55920602,2012,1923,420,418,0
8408844,27.53456537,2012,1923,420,418,0
8415627,27.50992471,2012,1022,420,418,0
8321852,27.50992471,2012,422,420,418,0
8415017,27.50171116,2012,1020,420,418,0
8321723,27.47980835,2012,1668,420,418,0
8421573,27.43600274,2012,750,420,418,0
8321979,27.43326489,2012,424,420,418,0
8223012,27.36208077,2012,1402,420,418,0
8504674,27.34565366,2012,480,420,418,0
8519186,27.33470226,2012,946,420,418,0
8212714,27.3100616,2012,4614,420,418,0
8419518,27.30732375,2012,300,420,418,0
8415639,27.3045859,2012,1022,420,418,0
8413875,27.24709103,2012,1879,420,418,0
8415641,27.22245038,2012,1022,420,418,0
8415110,27.20602327,2012,1000,420,418,0
8501646,27.17590691,2012,642,420,418,0
8413887,27.16769336,2012,1879,420,418,0
8510362,27.1266256,2012,860,420,418,0
8413033,27.09924709,2012,2073,420,418,0
8218512,27.08281999,2012,480,420,418,0
8513766,27.07186858,2012,1022,420,418,0
8508412,27.04722793,2012,1033,420,418,0
8415122,27.01984942,2012,1000,420,418,0
8410940,26.99726222,2012,3268,420,418,0
8501658,26.96440884,2012,642,420,418,0
8318025,26.95345772,2012,1686,420,418,0
8419702,26.91512878,2012,3044,420,418,0
8419714,26.84120868,2012,3044,420,418,0
8410952,26.83573312,2012,3268,420,418,0
8300016,26.82478199,2012,1210,420,418,0
8419726,26.77276415,2012,3044,420,418,0
8417948,26.7645508,2012,2633,420,418,0
8411841,26.70979517,2012,540,420,418,0
8521024,26.69610627,2012,490,420,418,0
8502717,26.61671061,2012,1317,420,418,0
8512891,26.59754614,2012,1879,420,418,0
8506672,26.5729061,2012,838,420,418,0
8514590,26.5154127,2012,1668,420,418,0
8521036,26.49898601,2012,490,420,418,0
8406262,26.43601704,2012,3266,420,418,0
8512906,26.42232813,2012,1879,420,418,0
8406274,26.35114581,2012,3266,420,418,0
8511328,26.33198134,2012,3016,420,418,0
8511316,26.33198134,2012,3016,420,418,0
8502872,26.31007909,2012,3074,420,418,0
8630241,26.2498479,2012,200,420,418,0
8516251,26.22794565,2012,1742,420,418,0
8608585,26.14854999,2012,3045,420,418,0
8601410,26.06367877,2012,3065,420,418,0
8520393,26.0445143,2012,946,420,418,0
8521397,26.04177652,2012,1879,420,418,0
8521402,25.81109824,2012,1879,420,418,0
8611790,25.79740971,2012,640,420,418,0
8406286,25.78098347,2012,3266,420,418,0
8420892,25.67421291,2012,2073,420,418,0
8614194,25.65504896,2012,1022,420,418,0
8406298,25.65231126,2012,3266,420,418,0
8517891,25.58386859,2012,3074,420,418,0
8419142,25.47709803,2012,1712,420,418,0
8703397,25.40317995,2012,3152,420,418,0
8419154,25.30736022,2012,1712,420,418,0
8505836,25.30188481,2012,2098,420,418,0
8501426,25.27998315,2012,3266,420,418,0
8706650,25.26355691,2012,155,420,418,0
8617976,25.18416342,2012,490,420,418,0
8419166,25.14309782,2012,1712,420,418,0
8800951,24.94250986,2012,1064,420,418,0
8609589,24.91239597,2012,928,420,418,0
8954635,24.91239597,2012,420,420,418,0
8613308,24.74813841,2012,4437,420,418,0
8801694,24.72076216,2012,190,420,418,0
8420907,24.6933859,2012,2073,420,418,0
8616283,24.69064827,2012,4340,420,418,0
8509375,24.67422251,2012,2073,420,418,0
8705486,24.66327201,2012,3102,420,418,0
8708543,24.61673237,2012,1797,420,418,0
8501452,24.58935611,2012,3266,420,418,0
8709169,24.49901445,2012,3016,420,418,0
8707355,24.47437582,2012,3129,420,418,0
8616295,24.46068769,2012,4340,420,418,0
8616922,24.45521244,2012,4340,420,418,0
8302246,24.41414805,2012,575,420,418,0
8616520,24.3347569,2012,2750,420,418,0
8613310,24.32928165,2012,4437,420,418,0
8616300,24.31011827,2012,4340,420,418,0
8616934,24.24167762,2012,4340,420,418,0
8714190,24.10753395,2012,2932,420,418,0
8608195,24.00076654,2012,2932,420,418,0
8613322,23.98631075,2012,4437,420,418,0
8809232,23.93702943,2012,634,420,418,0
8513467,23.93702943,2012,910,420,418,0
8714229,23.88774812,2012,3032,420,418,0
8513479,23.88774812,2012,910,420,418,0
8714205,23.83025325,2012,3074,420,418,0
8711368,23.80835044,2012,2803,420,418,0
8608200,23.71526352,2012,2932,420,418,0
8618293,23.68240931,2012,4437,420,418,0
8711370,23.6659822,2012,2803,420,418,0
8903715,23.53182752,2012,490,420,418,0
8813609,23.50992471,2012,816,420,418,0
8718110,23.45516769,2012,3918,420,418,0
8812734,23.44695414,2012,569,420,418,0
8813611,23.42505133,2012,760,420,418,0
8718122,23.38945927,2012,3918,420,418,0
8808587,23.35386721,2012,1793,420,418,0
8705230,23.321013,2012,2716,420,418,0
8618308,23.3155373,2012,4437,420,418,0
8910938,23.27720739,2012,143,420,418,0
8812746,23.27446954,2012,569,420,418,0
8806096,23.21697467,2012,2761,420,418,0
8714114,23.19780972,2012,357,420,418,0
8808628,23.17864476,2012,4180,420,418,0
8509387,23.16495551,2012,2073,420,418,0
8709640,23.05270363,2012,2098,420,418,0
8618310,23.04722793,2012,4437,420,418,0
8902125,23.04449008,2012,1793,420,418,0
8921664,23.02806297,2012,330,420,418,0
8806101,22.96714677,2012,2761,420,418,0
8901755,22.86858707,2012,1057,420,418,0
8705242,22.81930723,2012,2716,420,418,0
8715833,22.81930723,2012,1004,420,418,0
8814512,22.81656946,2012,2932,420,418,0
8809189,22.80835615,2012,981,420,418,0
8820248,22.7946673,2012,1000,420,418,0
8908545,22.74264968,2012,503,420,418,0
8715857,22.7234853,2012,4814,420,418,0
8704183,22.68515653,2012,2640,420,418,0
8813647,22.64135222,2012,1248,420,418,0
8820200,22.63040114,2012,1316,420,418,0
8902137,22.62218783,2012,1743,420,418,0
8814524,22.55100583,2012,2932,420,418,0
8715869,22.55100583,2012,4814,420,418,0
8908167,22.54553029,2012,1599,420,418,0
8809191,22.52636591,2012,981,420,418,0
8914013,22.5181526,2012,1057,420,418,0
8914269,22.50720152,2012,1404,420,418,0
9000338,22.50446375,2012,495,420,418,0
8717776,22.47434829,2012,316,420,418,0
8820212,22.47161052,2012,1316,420,418,0
8904111,22.44149506,2012,4796,420,418,0
8801333,22.43054398,2012,1158,420,418,0
8905878,22.43054398,2012,1793,420,418,0
8820224,22.41959291,2012,1316,420,418,0
8907668,22.38126414,2012,303,420,418,0
8813659,22.38126414,2012,1248,420,418,0
9036416,22.33745983,2012,333,420,418,0
9005522,22.33745983,2012,495,420,418,0
8909082,22.33472206,2012,1277,420,418,0
8820822,22.32650875,2012,3074,420,418,0
9000261,22.32650875,2012,200,420,418,0
8710962,22.25806452,2012,2023,420,418,0
8905957,22.25806452,2012,2954,420,418,0
8905945,22.25532675,2012,2797,420,418,0
8914025,22.2416379,2012,1057,420,418,0
8901406,22.22794905,2012,362,420,418,0
8917687,22.22794905,2012,1752,420,418,0
